調査年,地域,/項目,M3001_3次活動の平均時間（10歳以上）（男）【分】,M300100_3次活動の平均時間（15歳以上）（男）【分】,M300110_3次活動の平均時間（15〜24歳）（男）【分】,M300120_3次活動の平均時間（25〜34歳）（男）【分】,M300130_3次活動の平均時間（35〜44歳）（男）【分】,M300140_3次活動の平均時間（45〜54歳）（男）【分】,M300150_3次活動の平均時間（55〜64歳）（男）【分】,M300160_3次活動の平均時間（65〜74歳）（男）【分】,M300170_3次活動の平均時間（75歳以上）（男）【分】,M3002_3次活動の平均時間（10歳以上）（女）【分】,M300200_3次活動の平均時間（15歳以上）（女）【分】,M300210_3次活動の平均時間（15〜24歳）（女）【分】,M300220_3次活動の平均時間（25〜34歳）（女）【分】,M300230_3次活動の平均時間（35〜44歳）（女）【分】,M300240_3次活動の平均時間（45〜54歳）（女）【分】,M300250_3次活動の平均時間（55〜64歳）（女）【分】,M300260_3次活動の平均時間（65〜74歳）（女）【分】,M300270_3次活動の平均時間（75歳以上）（女）【分】
2021年度,千葉県,,380,380,384,309,312,281,366,490,558,362,362,343,292,280,312,362,427,487
2016年度,千葉県,,386,386,367,341,290,301,369,522,567,368,367,370,295,298,311,380,433,480
2011年度,千葉県,,395,396,395,342,282,315,408,560,590,378,378,378,287,312,351,396,452,500
2006年度,千葉県,,377,374,411,318,275,317,384,506,567,370,369,356,316,316,347,392,424,483
2001年度,千葉県,,388,386,419,329,302,340,400,545,590,377,376,378,321,350,351,384,449,495
1996年度,千葉県,,381,377,397,339,318,328,397,528,602,360,358,364,298,311,346,382,428,503
1991年度,千葉県,,,373,426,326,314,330,389,509,556,,339,342,301,291,311,351,439,541
1986年度,千葉県,,,346,387,,,,,,,,324,334,,,,,,
1981年度,千葉県,,,325,341,,,,,,,,320,317,,,,,,
